iter	Passed	Remaining
182	1652	9807
183	1653	9753
184	1681	9852
185	1681	9793
186	1682	9733
187	1713	9852
188	1721	9838
189	1723	9785
190	1723	9729
191	1736	9742
192	1745	9728
193	1746	9677
194	1751	9647
195	1754	9602
196	1763	9593
197	1765	9550
198	1792	9638
199	1797	9606
200	1812	9630
201	1813	9580
202	1834	9631
203	1845	9635
204	1896	9844
205	1910	9857
206	1940	9954
207	1940	9899
208	1949	9886
209	1950	9833
210	1950	9781
211	1952	9735
212	1953	9682
213	1954	9636
214	1955	9585
215	1965	9581
216	1997	9685
217	2000	9645
218	2026	9718
219	2028	9674
220	2029	9623
221	2030	9575
222	2031	9530
223	2036	9499
224	2089	9696
225	2096	9673
226	2108	9679
227	2162	9874
228	2163	9824
229	2189	9889
230	2192	9849
231	2193	9805
232	2194	9758
233	2196	9713
234	2203	9696
235	2236	9789
236	2237	9742
237	2250	9748
238	2257	9728
239	2263	9703
240	2264	9658
241	2268	9628
242	2283	9640
243	2283	9594
244	2284	9547
245	2284	9500
246	2285	9455
247	2289	9425
248	2298	9415
249	2343	9551
250	2353	9543
251	2353	9498
252	2362	9488
253	2363	9443
254	2377	9454
255	2380	9417
256	2393	9425
257	2395	9386
258	2412	9408
259	2445	9491
260	2453	9476
261	2454	9433
262	2465	9432
263	2522	9602
264	2532	9595
265	2533	9552
266	2544	9550
267	2573	9613
268	2579	9590
269	2594	9599
270	2597	9564
271	2610	9568
272	2612	9529
273	2613	9489
274	2613	9446
275	2674	9621
276	2674	9579
277	2701	9631
278	2706	9602
279	2710	9573
280	2736	9622
281	2740	9593
282	2742	9554
283	2781	9646
284	2781	9604
285	2782	9562
286	2784	9528
287	2811	9575
288	2813	9541
289	2817	9512
290	2829	9508
291	2832	9477
292	2834	9441
293	2861	9490
294	2863	9454
295	2878	9462
296	2888	9452
297	2900	9452
298	2901	9414
299	2914	9414
300	2919	9389
301	2920	9351
302	2927	9333
303	2927	9294
304	2932	9267
305	2932	9228
306	2976	9326
307	3010	9391
308	3010	9353
309	3011	9315
310	3047	9388
311	3049	9352
312	3079	9406
313	3080	9368
314	3082	9336
315	3083	9298
316	3093	9291
317	3095	9256
318	3096	9220
319	3110	9224
320	3111	9188
321	3119	9173
322	3129	9164
323	3134	9142
324	3143	9130
325	3144	9094
326	3144	9059
327	3153	9047
328	3154	9012
329	3165	9006
330	3191	9044
331	3196	9022
332	3197	8988
333	3198	8953
334	3199	8919
335	3205	8899
336	3208	8872
337	3221	8872
338	3222	8841
339	3272	8941
340	3294	8966
341	3295	8932
342	3296	8900
343	3316	8917
344	3316	8883
345	3317	8849
346	3327	8842
347	3338	8835
348	3340	8804
349	3341	8772
350	3361	8790
351	3368	8775
352	3375	8759
353	3411	8817
354	3419	8803
355	3419	8769
356	3436	8778
357	3450	8781
358	3457	8763
359	3457	8730
360	3474	8738
361	3491	8747
362	3493	8719
363	3503	8711
364	3504	8679
365	3504	8647
366	3505	8615
367	3505	8583
368	3506	8553
369	3523	8560
370	3551	8596
371	3555	8573
372	3556	8543
373	3557	8512
374	3612	8612
375	3663	8699
376	3687	8724
377	3688	8694
378	3708	8708
379	3713	8688
380	3714	8658
381	3745	8697
382	3746	8666
383	3760	8667
384	3778	8676
385	3783	8655
386	3784	8624
387	3787	8600
388	3797	8591
389	3800	8565
390	3801	8536
391	3802	8506
392	3811	8496
393	3812	8466
394	3839	8494
395	3848	8483
396	3867	8495
397	3908	8553
398	3909	8523
399	3909	8493
400	3910	8464
401	3911	8435
402	3912	8407
403	3922	8397
404	3959	8447
405	3960	8417
406	3961	8389
407	3975	8390
408	3981	8372
409	3982	8343
410	3983	8315
411	4012	8347
412	4018	8328
413	4019	8301
414	4026	8285
415	4026	8257
416	4031	8237
417	4099	8345
418	4100	8318
419	4116	8321
420	4117	8293
421	4168	8366
422	4178	8357
423	4198	8367
424	4213	8367
425	4214	8340
426	4215	8312
427	4216	8285
428	4217	8257
429	4232	8258
430	4241	8246
431	4246	8226
432	4262	8230
433	4272	8220
434	4302	8248
435	4305	8225
436	4305	8197
437	4306	8170
438	4307	8143
439	4308	8117
440	4313	8098
441	4322	8086
442	4343	8098
443	4343	8071
444	4362	8078
445	4363	8051
446	4363	8024
447	4372	8012
448	4372	7985
449	4379	7970
450	4406	7992
451	4407	7965
452	4407	7939
453	4418	7931
454	4437	7938
455	4438	7912
456	4439	7887
457	4464	7905
458	4469	7887
459	4470	7861
460	4471	7836
461	4471	7811
462	4472	7785
463	4480	7772
464	4480	7747
465	4513	7776
466	4514	7752
467	4517	7732
468	4518	7707
469	4519	7682
470	4576	7754
471	4577	7729
472	4640	7809
473	4645	7792
474	4657	7785
475	4675	7789
476	4686	7781
477	4690	7762
478	4695	7744
479	4730	7775
480	4731	7750
481	4731	7726
482	4732	7701
483	4741	7689
484	4743	7667
485	4743	7642
486	4752	7631
487	4752	7606
488	4804	7662
489	4830	7679
490	4830	7654
491	4836	7637
492	4836	7613
493	4837	7589
494	4841	7570
495	4844	7549
496	4844	7525
497	4926	7626
498	4926	7601
499	4935	7591
500	5012	7683
501	5036	7695
502	5038	7673
503	5098	7739
504	5099	7714
505	5109	7704
506	5112	7684
507	5114	7661
508	5123	7650
509	5154	7671
510	5155	7647
511	5156	7624
512	5157	7600
513	5162	7583
514	5163	7560
515	5169	7543
516	5183	7540
517	5184	7516
518	5185	7493
519	5186	7469
520	5209	7478
521	5211	7457
522	5211	7433
523	5240	7451
524	5252	7442
525	5253	7420
526	5268	7418
527	5273	7401
528	5284	7391
529	5318	7415
530	5318	7392
531	5351	7413
532	5364	7407
533	5367	7387
534	5369	7367
535	5370	7344
536	5371	7321
537	5397	7333
538	5424	7346
539	5425	7324
540	5440	7320
541	5441	7298
542	5461	7302
543	5469	7289
544	5470	7267
545	5472	7246
546	5473	7224
547	5482	7212
548	5497	7209
549	5498	7187
550	5550	7232
551	5551	7211
552	5552	7189
553	5553	7167
554	5559	7151
555	5559	7129
556	5562	7110
557	5587	7119
558	5591	7101
559	5598	7087
560	5599	7066
561	5610	7057
562	5610	7036
563	5611	7014
564	5611	6992
565	5636	7000
566	5665	7013
567	5667	6994
568	5667	6972
569	5695	6984
570	5705	6974
571	5709	6957
572	5710	6936
573	5714	6919
574	5740	6927
575	5740	6907
576	5749	6895
577	5750	6874
578	5757	6861
579	5758	6841
580	5759	6819
581	5774	6815
582	5784	6806
583	5785	6785
584	5786	6765
585	5786	6744
586	5803	6742
587	5818	6738
588	5837	6738
589	5837	6718
590	5890	6757
591	5891	6737
592	5912	6739
593	5914	6721
594	5915	6701
595	5916	6681
596	5917	6661
597	5921	6643
598	5921	6623
599	5947	6631
600	5948	6611
601	5948	6590
602	5963	6586
603	5975	6579
604	5994	6578
605	6004	6569
606	6010	6555
607	6020	6545
608	6025	6530
609	6056	6542
610	6056	6522
611	6065	6511
612	6067	6492
613	6070	6475
614	6070	6455
615	6077	6442
616	6078	6423
617	6081	6405
618	6131	6439
619	6154	6441
620	6164	6432
621	6182	6431
622	6231	6461
623	6251	6461
624	6253	6443
625	6278	6449
626	6279	6429
627	6279	6409
628	6288	6398
629	6288	6378
630	6290	6360
631	6304	6354
632	6363	6393
633	6411	6422
634	6419	6409
635	6420	6389
636	6439	6388
637	6466	6395
638	6484	6393
639	6485	6373
640	6488	6356
641	6490	6339
642	6494	6322
643	6496	6304
644	6512	6300
645	6515	6283
646	6557	6304
647	6573	6299
648	6573	6279
649	6589	6274
650	6593	6259
651	6649	6292
652	6669	6291
653	6670	6272
654	6671	6253
655	6698	6259
656	6703	6243
657	6703	6224
658	6704	6206
659	6705	6187
660	6705	6168
661	6714	6156
662	6771	6189
663	6779	6177
664	6804	6180
665	6804	6161
666	6811	6147
667	6814	6131
668	6888	6177
669	6888	6158
670	6889	6139
671	6921	6148
672	6922	6130
673	6923	6111
674	6925	6094
675	6979	6122
676	6980	6104
677	6984	6088
678	6985	6069
679	6986	6051
680	6990	6035
681	6999	6024
682	7000	6006
683	7003	5989
684	7010	5976
685	7015	5961
686	7015	5943
687	7022	5930
688	7027	5915
689	7029	5898
690	7029	5880
691	7036	5867
692	7037	5849
693	7046	5838
694	7050	5822
695	7056	5809
696	7079	5810
697	7084	5795
698	7116	5803
699	7138	5802
700	7149	5792
701	7156	5780
702	7172	5774
703	7226	5799
704	7228	5782
705	7229	5765
706	7230	5747
707	7231	5730
708	7232	5712
709	7233	5694
710	7233	5677
711	7286	5700
712	7286	5682
713	7306	5679
714	7314	5667
715	7316	5650
716	7317	5633
717	7328	5624
718	7359	5629
719	7387	5632
720	7389	5616
721	7423	5624
722	7432	5613
723	7457	5613
724	7471	5606
725	7473	5589
726	7484	5580
727	7516	5585
728	7516	5568
729	7518	5551
730	7526	5539
731	7529	5523
732	7554	5523
733	7554	5506
734	7563	5494
735	7563	5477
736	7569	5463
737	7623	5484
738	7624	5467
739	7624	5450
740	7639	5443
741	7647	5431
742	7648	5414
743	7649	5397
744	7667	5393
745	7668	5376
746	7699	5380
747	7755	5402
748	7756	5385
749	7772	5378
750	7774	5362
751	7775	5345
752	7775	5328
753	7776	5311
754	7792	5304
755	7792	5287
756	7805	5279
757	7825	5275
758	7840	5268
759	7840	5251
760	7870	5253
761	7871	5237
762	7872	5220
763	7884	5211
764	7885	5194
765	7885	5178
766	7886	5161
767	7894	5150
768	7895	5133
769	7896	5117
770	7906	5107
771	7932	5107
772	7940	5094
773	7940	5078
774	7958	5073
775	7963	5059
776	7963	5042
777	7966	5027
778	7982	5020
779	7983	5004
780	7983	4988
781	7990	4975
782	7998	4964
783	7998	4948
784	8004	4935
785	8040	4940
786	8041	4924
787	8041	4908
788	8065	4906
789	8072	4894
790	8073	4879
791	8076	4864
792	8088	4854
793	8088	4838
794	8089	4823
795	8099	4813
796	8151	4827
797	8156	4813
798	8160	4800
799	8212	4814
800	8213	4799
801	8215	4783
802	8230	4776
803	8232	4761
804	8235	4746
805	8235	4730
806	8311	4758
807	8319	4746
808	8345	4745
809	8402	4761
810	8403	4745
811	8404	4729
812	8404	4714
813	8414	4703
814	8419	4690
815	8420	4674
816	8453	4676
817	8456	4662
818	8511	4676
819	8511	4660
820	8525	4652
821	8528	4637
822	8529	4622
823	8530	4606
824	8530	4590
825	8538	4579
826	8539	4564
827	8540	4548
828	8551	4538
829	8554	4524
830	8554	4508
831	8604	4519
832	8606	4504
833	8609	4490
834	8632	4486
835	8647	4478
836	8648	4463
837	8649	4448
838	8693	4455
839	8721	4454
840	8780	4468
841	8782	4453
842	8782	4438
843	8807	4435
844	8808	4419
845	8808	4404
846	8840	4404
847	8840	4389
848	8842	4374
849	8845	4360
850	8846	4345
851	8846	4329
852	8847	4314
853	8861	4306
854	8862	4291
855	8902	4295
856	8921	4288
857	8924	4274
858	8924	4259
859	8951	4256
860	8956	4244
861	8959	4230
862	8967	4218
863	8979	4209
864	8989	4198
865	8990	4183
866	8994	4170
867	9011	4163
868	9013	4148
869	9025	4139
870	9030	4126
871	9031	4111
872	9041	4101
873	9042	4086
874	9042	4071
875	9045	4058
876	9057	4048
877	9059	4034
878	9060	4019
879	9060	4005
880	9061	3990
881	9064	3977
882	9092	3974
883	9092	3960
884	9102	3949
885	9109	3937
886	9111	3923
887	9112	3909
888	9113	3895
889	9113	3881
890	9114	3866
891	9122	3855
892	9173	3862
893	9207	3862
894	9210	3848
895	9231	3842
896	9232	3828
897	9232	3814
898	9233	3800
899	9262	3797
900	9279	3790
901	9304	3785
902	9305	3771
903	9355	3777
904	9362	3765
905	9401	3766
906	9416	3758
907	9417	3744
908	9443	3739
909	9443	3725
910	9444	3711
911	9449	3699
912	9450	3685
913	9459	3673
914	9459	3659
915	9471	3650
916	9480	3639
917	9486	3627
918	9486	3612
919	9496	3602
920	9498	3589
921	9513	3580
922	9515	3566
923	9541	3562
924	9542	3548
925	9544	3535
926	9552	3524
927	9558	3512
928	9562	3499
929	9563	3486
930	9590	3481
931	9653	3490
932	9701	3493
933	9710	3482
934	9750	3482
935	9767	3475
936	9768	3461
937	9778	3450
938	9783	3438
939	9784	3424
940	9829	3426
941	9833	3413
942	9834	3399
943	9836	3386
944	9837	3372
945	9838	3359
946	9840	3345
947	9859	3338
948	9867	3327
949	9867	3313
950	9868	3299
951	9877	3289
952	9878	3275
953	9884	3263
954	9912	3259
955	9927	3250
956	9928	3236
957	9930	3223
958	9939	3212
959	9972	3209
960	9973	3196
961	9986	3186
962	9995	3176
963	10007	3166
964	10007	3152
965	10043	3150
966	10052	3139
967	10053	3126
968	10064	3116
969	10065	3102
970	10065	3089
971	10090	3083
972	10091	3070
973	10101	3059
974	10106	3047
975	10156	3048
976	10169	3039
977	10170	3026
978	10175	3014
979	10176	3000
980	10177	2987
981	10177	2974
982	10194	2965
983	10209	2956
984	10214	2945
985	10215	2932
986	10217	2919
987	10217	2906
988	10219	2893
989	10219	2880
990	10222	2867
991	10251	2862
992	10260	2851
993	10261	2838
994	10262	2826
995	10263	2813
996	10265	2800
997	10266	2787
998	10268	2775
999	10268	2762
1000	10271	2750
1001	10280	2739
1002	10294	2730
1003	10330	2726
1004	10331	2713
1005	10359	2708
1006	10359	2695
1007	10360	2682
1008	10362	2670
1009	10363	2657
1010	10371	2646
1011	10375	2634
1012	10386	2624
1013	10416	2619
1014	10442	2613
1015	10467	2606
1016	10482	2597
1017	10487	2585
1018	10495	2574
1019	10496	2562
1020	10505	2551
1021	10507	2539
1022	10513	2528
1023	10545	2522
1024	10545	2510
1025	10574	2504
1026	10620	2502
1027	10625	2490
1028	10625	2478
1029	10651	2471
1030	10661	2461
1031	10671	2450
1032	10671	2438
1033	10691	2429
1034	10693	2417
1035	10726	2412
1036	10727	2400
1037	10740	2390
1038	10740	2377
1039	10746	2366
1040	10766	2358
1041	10827	2358
1042	10828	2346
1043	10902	2349
1044	10909	2338
1045	10910	2325
1046	10910	2313
1047	10912	2301
1048	10940	2294
1049	10949	2283
1050	10950	2271
1051	10990	2267
1052	11058	2268
1053	11066	2257
1054	11082	2248
1055	11083	2235
1056	11095	2225
1057	11105	2214
1058	11107	2202
1059	11137	2196
1060	11156	2187
1061	11157	2174
1062	11160	2162
1063	11161	2150
1064	11176	2140
1065	11177	2128
1066	11204	2121
1067	11206	2109
1068	11208	2097
1069	11210	2085
1070	11211	2072
1071	11213	2060
1072	11216	2048
1073	11245	2041
1074	11247	2029
1075	11255	2018
1076	11268	2008
1077	11314	2004
1078	11315	1992
1079	11371	1989
1080	11371	1977
1081	11383	1967
1082	11395	1957
1083	11408	1947
1084	11410	1935
1085	11447	1928
1086	11458	1918
1087	11466	1907
1088	11467	1895
1089	11503	1889
1090	11512	1878
1091	11514	1866
1092	11515	1854
1093	11515	1842
1094	11516	1830
1095	11517	1817
1096	11542	1809
1097	11544	1797
1098	11545	1785
1099	11576	1778
1100	11576	1766
1101	11578	1754
1102	11578	1742
1103	11585	1731
1104	11586	1719
1105	11587	1707
1106	11587	1695
1107	11642	1691
1108	11666	1683
1109	11677	1672
1110	11685	1661
1111	11695	1651
1112	11695	1639
1113	11702	1628
1114	11759	1624
1115	11762	1612
1116	11762	1600
1117	11795	1593
1118	11801	1582
1119	11802	1570
1120	11802	1558
1121	11803	1546
1122	11821	1536
1123	11825	1525
1124	11830	1514
1125	11855	1505
1126	11856	1493
1127	11867	1483
1128	11894	1474
1129	11895	1463
1130	11896	1451
1131	11922	1442
1132	11922	1431
1133	11923	1419
1134	11932	1408
1135	11944	1398
1136	11954	1387
1137	11970	1377
1138	12020	1371
1139	12021	1360
1140	12022	1348
1141	12022	1337
1142	12026	1325
1143	12029	1314
1144	12056	1305
1145	12056	1294
1146	12114	1288
1147	12133	1278
1148	12135	1267
1149	12191	1261
1150	12201	1250
1151	12202	1239
1152	12203	1227
1153	12208	1216
1154	12217	1205
1155	12239	1196
1156	12257	1186
1157	12258	1175
1158	12258	1163
1159	12269	1152
1160	12270	1141
1161	12279	1130
1162	12284	1119
1163	12284	1108
1164	12291	1097
1165	12292	1085
1166	12293	1074
1167	12294	1063
1168	12322	1054
1169	12323	1042
1170	12327	1031
1171	12351	1022
1172	12352	1010
1173	12361	1000
1174	12362	989
1175	12364	977
1176	12371	967
1177	12372	955
1178	12376	944
1179	12380	933
1180	12380	922
1181	12381	911
1182	12383	900
1183	12384	889
1184	12402	879
1185	12410	868
1186	12411	857
1187	12425	847
1188	12463	838
1189	12472	827
1190	12488	817
1191	12490	806
1192	12521	797
1193	12526	786
1194	12540	776
1195	12541	765
1196	12549	754
1197	12551	743
1198	12561	733
1199	12564	722
1200	12574	711
1201	12575	700
1202	12598	691
1203	12615	681
1204	12615	670
1205	12619	659
1206	12632	648
1207	12655	639
1208	12658	628
1209	12659	617
1210	12689	607
1211	12690	596
1212	12691	585
1213	12721	576
1214	12722	565
1215	12722	554
1216	12730	543
1217	12762	534
1218	12792	524
1219	12820	514
1220	12821	504
1221	12825	493
1222	12828	482
1223	12829	471
1224	12832	460
1225	12846	450
1226	12847	439
1227	12855	429
1228	12909	420
1229	12964	411
1230	13027	402
1231	13058	392
1232	13066	381
1233	13079	370
1234	13080	360
1235	13080	349
1236	13085	338
1237	13097	327
1238	13106	317
1239	13107	306
1240	13107	295
1241	13108	284
1242	13108	274
1243	13120	263
1244	13127	253
1245	13137	242
1246	13138	231
1247	13141	221
1248	13148	210
1249	13178	200
1250	13179	189
1251	13194	179
1252	13196	168
1253	13197	157
1254	13252	147
1255	13296	137
1256	13299	126
1257	13300	116
1258	13301	105
1259	13302	95
1260	13319	84
1261	13346	74
1262	13359	63
1263	13366	52
1264	13367	42
1265	13375	31
1266	13403	21
1267	13413	10
1268	13422	0
