iter	RMSEWithUncertainty
492	-1.321604641
493	-1.321876421
494	-1.322737991
495	-1.323205862
496	-1.323282535
497	-1.324314832
498	-1.324367329
499	-1.32582171
500	-1.32684664
501	-1.328359897
502	-1.329696316
503	-1.331823678
504	-1.331884645
505	-1.333649688
506	-1.334420322
507	-1.335577061
508	-1.338139871
509	-1.339476631
510	-1.339741939
511	-1.341191049
512	-1.34121034
513	-1.3426817
514	-1.342996886
515	-1.344264096
516	-1.346123272
517	-1.346248231
518	-1.346959939
519	-1.347014612
520	-1.347598979
521	-1.347950516
522	-1.348131243
523	-1.351415215
524	-1.352885168
525	-1.35329551
526	-1.355055548
527	-1.355302937
528	-1.357178102
529	-1.358927856
530	-1.358986263
531	-1.362601746
532	-1.363740809
533	-1.3649833
534	-1.365280883
535	-1.36569635
536	-1.366229191
537	-1.367555246
538	-1.368315872
539	-1.368705143
540	-1.371226641
541	-1.371616113
542	-1.373559932
543	-1.374772746
544	-1.374834195
545	-1.375317091
546	-1.375560638
547	-1.376525333
548	-1.377475447
549	-1.377604647
550	-1.378685431
551	-1.379115575
552	-1.379476738
553	-1.379804564
554	-1.382140225
555	-1.382268963
556	-1.382526807
557	-1.383673
558	-1.383921569
559	-1.384999411
560	-1.386277774
561	-1.386925504
562	-1.386966642
563	-1.387004807
564	-1.387256087
565	-1.390308517
566	-1.391989005
567	-1.392484833
568	-1.39252712
569	-1.394014347
570	-1.394630778
571	-1.395905136
572	-1.396548837
573	-1.396817895
574	-1.397733072
575	-1.397991851
576	-1.400623862
577	-1.400688562
578	-1.403213154
579	-1.403433053
580	-1.403512263
581	-1.405987244
582	-1.406989766
583	-1.407263711
584	-1.407636496
585	-1.407678053
586	-1.408891532
587	-1.410226394
588	-1.411869349
589	-1.411913335
590	-1.414245357
591	-1.414264869
592	-1.417100176
593	-1.417914513
594	-1.418182872
595	-1.418705678
596	-1.418814924
597	-1.420032991
598	-1.4201016
599	-1.422049556
600	-1.4222196
601	-1.422260574
602	-1.424101255
603	-1.425175087
604	-1.428622098
605	-1.429312832
606	-1.430287745
607	-1.43100454
608	-1.431976793
609	-1.433524725
610	-1.433661396
611	-1.434853846
612	-1.43544471
613	-1.435888536
614	-1.435902785
615	-1.437759681
616	-1.438298902
617	-1.438980699
618	-1.441684046
619	-1.442744126
620	-1.443865593
621	-1.445646403
622	-1.446853506
623	-1.447898304
624	-1.448521626
625	-1.450330362
626	-1.450418881
627	-1.450470982
628	-1.452482482
629	-1.452534891
630	-1.452769754
631	-1.453804726
632	-1.454403435
633	-1.455850736
634	-1.456794044
635	-1.457022983
636	-1.458989293
637	-1.459990715
638	-1.460241879
639	-1.460314492
640	-1.4611588
641	-1.462413007
642	-1.46297492
643	-1.463122321
644	-1.465142795
645	-1.465644793
646	-1.467588204
647	-1.469163137
648	-1.469210984
649	-1.470832152
650	-1.471174324
651	-1.472278494
652	-1.473079288
653	-1.473162954
654	-1.473602036
655	-1.475009199
656	-1.477437901
657	-1.477480373
658	-1.477667202
659	-1.47786523
660	-1.477933836
661	-1.479689986
662	-1.482280627
663	-1.482989633
664	-1.484205054
665	-1.484250614
666	-1.48566412
667	-1.48617657
668	-1.48915303
669	-1.48940145
670	-1.489608638
671	-1.491264911
672	-1.492224452
673	-1.492513443
674	-1.492954768
675	-1.496391314
676	-1.496752888
677	-1.498822198
678	-1.498981433
679	-1.499263728
680	-1.499645108
681	-1.501240714
682	-1.501382176
683	-1.502412681
684	-1.502805041
685	-1.503661891
686	-1.503716983
687	-1.504315191
688	-1.505466228
689	-1.505817814
690	-1.506133426
691	-1.507203985
692	-1.507431374
693	-1.510463042
694	-1.510886171
695	-1.511847418
696	-1.512354769
697	-1.513177109
698	-1.515824434
699	-1.516503232
700	-1.5180895
701	-1.518916518
702	-1.520365367
703	-1.522048616
704	-1.522518543
705	-1.522776707
706	-1.522751365
707	-1.523240749
708	-1.523325149
709	-1.523446744
710	-1.523522733
711	-1.525191852
712	-1.525253977
713	-1.526306851
714	-1.528661151
715	-1.529339982
716	-1.52974753
717	-1.532193231
718	-1.532970248
719	-1.534266047
720	-1.535295643
721	-1.536569614
722	-1.537141835
723	-1.539502948
724	-1.540476784
725	-1.540749543
726	-1.541618574
727	-1.542842059
728	-1.542907752
729	-1.543194924
730	-1.543580783
731	-1.544219182
732	-1.545730287
733	-1.545771515
734	-1.546823261
735	-1.546968648
736	-1.548176188
737	-1.551435984
738	-1.551545924
739	-1.55160117
740	-1.552301479
741	-1.552967775
742	-1.553274905
743	-1.553689414
744	-1.554685148
745	-1.554791254
746	-1.555433413
747	-1.556173725
748	-1.556264812
749	-1.556895562
750	-1.557436321
751	-1.557522431
752	-1.557617839
753	-1.557689814
754	-1.559642978
755	-1.559692756
756	-1.56086018
757	-1.56199581
758	-1.564781856
759	-1.564835937
760	-1.567825305
761	-1.568425456
762	-1.568565865
763	-1.569844849
764	-1.569941784
765	-1.570223006
766	-1.570265588
767	-1.572680269
768	-1.572715963
769	-1.572905262
770	-1.57411848
771	-1.57587653
772	-1.577364226
773	-1.577443618
774	-1.579376337
775	-1.579802841
776	-1.580061577
777	-1.580991066
778	-1.582556989
779	-1.582517036
780	-1.58255213
781	-1.584635039
782	-1.584954922
783	-1.584937975
784	-1.585451886
785	-1.588277
786	-1.58850644
787	-1.588622171
788	-1.589799551
789	-1.591615925
790	-1.591851382
791	-1.593383291
792	-1.595303172
793	-1.59537215
794	-1.595563569
795	-1.59727622
796	-1.598551497
797	-1.599328416
798	-1.599674414
799	-1.600769846
800	-1.601012441
801	-1.601542134
802	-1.602981357
803	-1.603268235
804	-1.603775043
805	-1.603817191
806	-1.60479218
807	-1.605606447
808	-1.608491129
809	-1.609325503
810	-1.609673854
811	-1.609765075
812	-1.60998988
813	-1.611402441
814	-1.611974363
815	-1.612192027
816	-1.614485918
817	-1.614751509
818	-1.615431959
819	-1.615855153
820	-1.617409007
821	-1.618460144
822	-1.618508139
823	-1.618542324
824	-1.618604072
825	-1.618990899
826	-1.619111182
827	-1.619298426
828	-1.621034482
829	-1.62130998
830	-1.621336645
831	-1.622427271
832	-1.622805513
833	-1.623133669
834	-1.624359573
835	-1.625363489
836	-1.625848364
837	-1.626001381
838	-1.628828579
839	-1.63066594
840	-1.632246953
841	-1.632808237
842	-1.632843269
843	-1.634148391
844	-1.634128448
845	-1.634159906
846	-1.634977307
847	-1.635015758
848	-1.635506137
849	-1.635799369
850	-1.636331463
851	-1.636356332
852	-1.636541059
853	-1.638390222
854	-1.638717437
855	-1.640099468
856	-1.642523699
857	-1.643431124
858	-1.643462388
859	-1.645093191
860	-1.645631819
861	-1.646720445
862	-1.647530224
863	-1.649318368
864	-1.650841132
865	-1.650878491
866	-1.651111509
867	-1.65304055
868	-1.653095023
869	-1.654269927
870	-1.654960435
871	-1.655400321
872	-1.657672261
873	-1.657777339
874	-1.657812917
875	-1.658092153
876	-1.659212744
877	-1.659946516
878	-1.660000234
879	-1.660073153
880	-1.660258037
881	-1.661116967
882	-1.662109728
883	-1.66216256
884	-1.663037744
885	-1.663509448
886	-1.663792534
887	-1.664174712
888	-1.664385952
889	-1.664474093
890	-1.664406649
891	-1.66500837
892	-1.666035143
893	-1.667088139
894	-1.66714639
895	-1.668525165
896	-1.668546597
897	-1.668669457
898	-1.668709839
899	-1.670030226
900	-1.671738492
901	-1.672552909
902	-1.672993554
903	-1.674995691
904	-1.676078076
905	-1.676848614
906	-1.679351689
907	-1.679472681
908	-1.680430452
909	-1.680460717
910	-1.680848864
911	-1.68192438
912	-1.682581782
913	-1.683197879
914	-1.683220584
915	-1.683756976
916	-1.684106879
917	-1.684740204
918	-1.684764061
919	-1.686217482
920	-1.686705735
921	-1.688481875
922	-1.688790848
923	-1.690710442
924	-1.691017535
925	-1.691556926
926	-1.692479171
927	-1.693416938
928	-1.6945862
929	-1.695392394
930	-1.695684544
931	-1.699816716
932	-1.701196104
933	-1.701623622
934	-1.703059611
935	-1.705014936
936	-1.705632362
937	-1.706914842
938	-1.708410593
939	-1.708683727
940	-1.712576313
941	-1.713550398
942	-1.713643582
943	-1.714414766
944	-1.714682694
945	-1.714751357
946	-1.714996651
947	-1.717740286
948	-1.718427466
949	-1.718475388
950	-1.718652409
951	-1.720569705
952	-1.720641907
953	-1.7211817
954	-1.722528303
955	-1.723721047
956	-1.723996561
957	-1.724762505
958	-1.725743423
959	-1.727358816
960	-1.727402416
961	-1.728883045
962	-1.732056372
963	-1.73319657
964	-1.733248161
965	-1.734706161
966	-1.735358676
967	-1.735575052
968	-1.737118981
969	-1.737420391
970	-1.737764325
971	-1.74054757
972	-1.741308403
973	-1.742294672
974	-1.743698761
975	-1.744691041
976	-1.746357688
977	-1.746411202
978	-1.747031035
979	-1.747235864
980	-1.747634983
981	-1.747678345
982	-1.748506216
983	-1.749473135
984	-1.75004619
985	-1.750669911
986	-1.750842527
987	-1.750922776
988	-1.751251832
989	-1.751340319
990	-1.751913468
991	-1.752849003
992	-1.754497716
993	-1.754600856
994	-1.754907528
995	-1.754945035
996	-1.755727994
997	-1.756026646
998	-1.756406459
999	-1.756448824
1000	-1.756762774
1001	-1.758756431
1002	-1.759273188
1003	-1.7600422
1004	-1.760116676
1005	-1.761202133
1006	-1.761226923
1007	-1.761358579
1008	-1.761796461
1009	-1.761830961
1010	-1.762340263
1011	-1.763368134
1012	-1.763827292
1013	-1.765081207
1014	-1.767192929
1015	-1.769827896
1016	-1.770809058
1017	-1.772441156
1018	-1.773788043
1019	-1.773934053
1020	-1.774815828
1021	-1.775326747
1022	-1.778940497
1023	-1.779555176
1024	-1.77962368
1025	-1.780155604
1026	-1.781647478
1027	-1.782168411
1028	-1.782255976
1029	-1.784211122
1030	-1.784580972
1031	-1.785787726
1032	-1.785864098
1033	-1.786516437
1034	-1.786930585
1035	-1.789170081
1036	-1.789372324
1037	-1.79034445
1038	-1.790381476
1039	-1.790922049
1040	-1.791694663
1041	-1.79324383
1042	-1.793909477
1043	-1.794917771
1044	-1.796078663
1045	-1.796115468
1046	-1.796149606
1047	-1.797260347
1048	-1.798695476
1049	-1.800443261
1050	-1.800706835
1051	-1.80274704
1052	-1.804498921
1053	-1.8052258
1054	-1.805738467
1055	-1.805814422
1056	-1.806924062
1057	-1.807308835
1058	-1.807617195
1059	-1.810066822
1060	-1.812319997
1061	-1.812365739
1062	-1.812948303
1063	-1.813066193
1064	-1.813986509
1065	-1.814089236
1066	-1.816882824
1067	-1.817176516
1068	-1.81724529
1069	-1.817510324
1070	-1.817881043
1071	-1.818351405
1072	-1.818601304
1073	-1.820754556
1074	-1.820967886
1075	-1.82149818
1076	-1.822427111
1077	-1.824712094
1078	-1.825170312
1079	-1.826408713
1080	-1.826494591
1081	-1.826882772
1082	-1.82714584
1083	-1.828247108
1084	-1.828675341
1085	-1.829954161
1086	-1.830485707
1087	-1.831673737
1088	-1.832414271
1089	-1.832747544
1090	-1.833173454
1091	-1.833445998
1092	-1.833660452
1093	-1.833717177
1094	-1.833754401
1095	-1.833857371
1096	-1.834962491
1097	-1.835442753
1098	-1.835573628
1099	-1.836228537
1100	-1.836250242
1101	-1.836407728
1102	-1.83649941
1103	-1.837340441
1104	-1.837373828
1105	-1.837460499
1106	-1.837549207
1107	-1.837856023
1108	-1.838780869
1109	-1.84207515
1110	-1.842821353
1111	-1.843359316
1112	-1.843403888
1113	-1.843901827
1114	-1.844462129
1115	-1.845234162
1116	-1.845377046
1117	-1.84675445
1118	-1.848292885
1119	-1.848315927
1120	-1.848337283
1121	-1.848404342
1122	-1.849879734
1123	-1.850595545
1124	-1.851495756
1125	-1.852111978
1126	-1.852162914
1127	-1.852754981
1128	-1.853412477
1129	-1.853440352
1130	-1.853743749
1131	-1.856560593
1132	-1.856698076
1133	-1.856891593
1134	-1.857545441
1135	-1.85888167
1136	-1.860305182
1137	-1.861235398
1138	-1.861733544
1139	-1.862010833
1140	-1.861985278
1141	-1.86252709
1142	-1.863784752
1143	-1.864039419
1144	-1.864924214
1145	-1.86494667
1146	-1.865902421
1147	-1.866313546
1148	-1.86903079
1149	-1.870615651
1150	-1.871193963
1151	-1.872340165
1152	-1.872489343
1153	-1.872857683
1154	-1.874436289
1155	-1.875440001
1156	-1.876831134
1157	-1.876914495
1158	-1.876944291
1159	-1.877559291
1160	-1.877935707
1161	-1.878541664
1162	-1.879715623
1163	-1.879811345
1164	-1.880735838
1165	-1.881697362
1166	-1.881752865
1167	-1.88183649
1168	-1.883682601
1169	-1.883698996
1170	-1.884005636
1171	-1.885419054
1172	-1.885461057
1173	-1.886826277
1174	-1.887007668
1175	-1.887247332
1176	-1.88786996
1177	-1.888031584
1178	-1.888262547
1179	-1.888591078
1180	-1.888610207
1181	-1.888693127
1182	-1.88899443
1183	-1.889026703
1184	-1.891142982
1185	-1.891737677
1186	-1.891816661
1187	-1.89277348
1188	-1.893519539
1189	-1.89386617
1190	-1.895536959
1191	-1.895716748
1192	-1.896156709
1193	-1.897071941
1194	-1.897920625
1195	-1.898504016
1196	-1.900293142
1197	-1.90053403
1198	-1.901496904
1199	-1.902037699
1200	-1.903650734
1201	-1.903698109
1202	-1.904931097
1203	-1.905663264
1204	-1.905847063
1205	-1.906094519
1206	-1.90744591
1207	-1.90789475
1208	-1.909717535
1209	-1.909940632
1210	-1.911077385
1211	-1.911291501
1212	-1.911351403
1213	-1.912810526
1214	-1.91288762
1215	-1.912815362
1216	-1.913421431
1217	-1.914661192
1218	-1.915393075
1219	-1.916145432
1220	-1.916101728
1221	-1.916846458
1222	-1.917992848
1223	-1.918088581
1224	-1.918860586
1225	-1.919457958
1226	-1.919605857
1227	-1.921020961
1228	-1.922512679
1229	-1.923787261
1230	-1.925275155
1231	-1.92666322
1232	-1.927218442
1233	-1.928061708
1234	-1.928096074
1235	-1.928213398
1236	-1.928574798
1237	-1.929430823
1238	-1.930782908
1239	-1.93084001
1240	-1.930929809
1241	-1.930953563
1242	-1.930975667
1243	-1.932042325
1244	-1.932772245
1245	-1.933710785
1246	-1.933795805
1247	-1.934588318
1248	-1.935745213
1249	-1.936624563
1250	-1.936852393
1251	-1.938429309
1252	-1.938956479
1253	-1.938978027
1254	-1.94060296
1255	-1.941133934
1256	-1.941298318
1257	-1.94148111
1258	-1.941621643
1259	-1.941850941
1260	-1.943134844
1261	-1.94449948
1262	-1.946704539
1263	-1.947290502
1264	-1.947354711
1265	-1.94929423
1266	-1.952679457
1267	-1.95352272
1268	-1.954140629
